cluster_id,count,top_sw_l1,top_sw_l1_pct,sw_l1_entropy,top_industry,top_industry_pct,avg_pct_chg,std_pct_chg,avg_roe,std_roe,avg_pe_ttm,std_pe_ttm,avg_pb,std_pb,avg_total_mv,std_total_mv,avg_turnover_rate,std_turnover_rate,avg_Size,avg_Size_sw_neutral,avg_LogSize_sw_neutral,avg_NonlinearSize,avg_NonlinearSize_sw_neutral,avg_Value,avg_Value_sw_neutral,avg_Momentum,avg_Momentum_sw_neutral,avg_ShortReversal,avg_ShortReversal_sw_neutral,avg_Volatility,avg_Volatility_sw_neutral,avg_Liquidity,avg_Liquidity_sw_neutral,avg_Profitability,avg_Profitability_sw_neutral,avg_Growth,avg_Growth_sw_neutral,avg_Leverage,avg_Leverage_sw_neutral,avg_EarningsQuality,avg_EarningsQuality_sw_neutral,prototype_stocks
0,1,机械设备,1.0,-1.000000082690371e-10,机械基件,1.0,-2.488100051879883,,-1.2762999534606934,,57.7557487487793,,3.253499984741211,,423675.90625,,5.319399833679199,,-0.39293035864830017,-0.3331945836544037,-0.46787920594215393,-0.39293035864830017,-0.3331945836544037,-0.23960311710834503,-0.2999085783958435,,,,,,,0.08414973318576813,0.11762929707765579,-0.7966572046279907,-1.0533366203308105,-0.5272122025489807,-0.5682072043418884,0.0698692724108696,0.2599389851093292,,,001306.SZ
1,211,基础化工,0.12322274881516587,2.9849831457408826,电气设备,0.08530805687203792,-1.1102246046066284,2.56596302986145,2.728750705718994,12.532068252563477,90.47720336914062,147.26502990722656,5.005041122436523,5.6790452003479,1848623.551297393,3709901.1254264475,3.484721689162096,3.4584229530176636,-0.012539291754364967,-0.05569370463490486,-0.04973464831709862,-0.012539291754364967,-0.05569370463490486,-0.033069636672735214,-0.029321271926164627,,,,,,,-0.1041191816329956,-0.14467790722846985,0.03294342756271362,0.07201504707336426,-0.06198091059923172,-0.06541953235864639,-0.016427839174866676,-0.012675615027546883,,,"300548.SZ,300857.SZ,688775.SH"
2,80,机械设备,0.1625,2.790842156669261,专用机械,0.1,-1.1583588123321533,3.2994370460510254,4.785676002502441,7.603504180908203,93.39580535888672,144.90997314453125,3.92344331741333,2.660346031188965,2588383.5020156233,5289155.093919234,3.7878078508526087,3.21356501643341,0.18494030833244324,0.2726164758205414,0.2005903422832489,0.18494030833244324,0.2726164758205414,-0.023741979151964188,0.01624869368970394,,,,,,,0.026058649644255638,0.05636836215853691,0.08317045867443085,0.06324593722820282,0.1148671880364418,0.1150062307715416,0.010215064510703087,0.07393338531255722,,,"688411.SH,600809.SH,301196.SZ"
3,1,机械设备,1.0,-1.000000082690371e-10,机床制造,1.0,-1.0988999605178833,,9.387399673461914,,27.952299118041992,,2.5620999336242676,,439560.0,,2.5243000984191895,,-0.3886900842189789,-0.3251130282878876,-0.27369070053100586,-0.3886900842189789,-0.3251130282878876,-0.4294814169406891,-0.4905130863189697,,,,,,,0.04987028241157532,0.07946903258562088,0.47147807478904724,0.43268847465515137,0.17491431534290314,0.14476430416107178,-0.7083684206008911,-0.6415401101112366,,,688558.SH
4,1,机械设备,1.0,-1.000000082690371e-10,专用机械,1.0,6.69890022277832,,7.147900104522705,,123.36810302734375,,7.887800216674805,,1805167.5,,14.01509952545166,,-0.024139925837516785,0.369684100151062,0.16242040693759918,-0.024139925837516785,0.369684100151062,0.1958128809928894,0.1371726393699646,,,,,,,2.2421603202819824,2.5199503898620605,0.8703628182411194,0.9001091718673706,2.547661304473877,2.5541605949401855,-0.6001342535018921,-0.5161660313606262,,,002975.SZ
5,286,机械设备,0.13986013986013987,2.911852081619072,电气设备,0.06993006993006994,-1.0287014245986938,3.2860074043273926,2.472759485244751,10.548425674438477,104.05952453613281,161.64097595214844,4.837818145751953,5.214862823486328,1551073.1306796325,2963899.4327648324,4.095284297691359,3.923030380538664,-0.09197065979242325,-0.04190835356712341,-0.03381885960698128,-0.09197065979242325,-0.04190835356712341,0.05035886541008949,0.028231894597411156,,,,,,,0.06916511803865433,0.06785760819911957,0.017406709492206573,0.027642110362648964,0.020313283428549767,0.022963155061006546,-0.09077377617359161,-0.052866868674755096,,,"688498.SH,688167.SH,688785.SH"
6,36,医药生物,0.1388888888888889,2.738759230815485,化学制药,0.1111111111111111,-1.5294194221496582,2.3601794242858887,5.103163719177246,7.625319480895996,64.17451477050781,80.32831573486328,3.395855665206909,2.0208563804626465,1551203.05078125,2890078.6068431227,3.7363473031918204,4.857260106099841,-0.09193596243858337,-0.16864776611328125,-0.1350744515657425,-0.09193596243858337,-0.16864776611328125,-0.1987486481666565,-0.18226264417171478,,,,,,,-0.046428389847278595,-0.037577152252197266,0.17950807511806488,0.12476376444101334,-0.10441383719444275,-0.10020139813423157,-0.31683677434921265,-0.20642274618148804,,,"603799.SH,301043.SZ,603062.SH"
7,111,机械设备,0.14414414414414414,2.953478854864785,汽车配件,0.0990990990990991,-1.6962649822235107,2.472198486328125,2.9736199378967285,10.171395301818848,93.82740020751953,164.04342651367188,4.144874095916748,4.563549995422363,1981724.5133558542,4527318.800265677,3.3805234793284993,3.7418260940460297,0.022992143407464027,0.014527306891977787,0.04046996682882309,0.022992143407464027,0.014527306891977787,-0.02180957794189453,-0.016251536086201668,,,,,,,-0.1367587149143219,-0.06556028872728348,-0.047192174941301346,-0.06741039454936981,-0.08067598193883896,-0.08633963763713837,-0.019327333196997643,-0.02140742540359497,,,"300870.SZ,688041.SH,301682.SZ"
8,1,房地产,1.0,-1.000000082690371e-10,园区开发,1.0,0.0,,-10.886799812316895,,47.460201263427734,,3.404599905014038,,300000.0,,1.097499966621399,,-0.4259457588195801,-0.6447397470474243,-0.6289264559745789,-0.4259457588195801,-0.6447397470474243,-0.29907384514808655,-0.1755978763103485,,,,,,,-0.6444531083106995,-0.4689944088459015,-1.3283240795135498,-0.7569953799247742,-0.03359371796250343,0.3085070550441742,1.195050835609436,0.3657105267047882,,,600463.SH
9,1,计算机,1.0,-1.000000082690371e-10,软件服务,1.0,-1.4460999965667725,,0.396699994802475,,241.29209899902344,,3.4567999839782715,,382248.84375,,1.388700008392334,,-0.40398937463760376,-0.42054513096809387,-0.4564933776855469,-0.40398937463760376,-0.42054513096809387,0.8380343914031982,0.39315012097358704,,,,,,,-0.7075983881950378,-0.7632094621658325,0.3310386538505554,0.30501222610473633,-0.2465272694826126,-0.1236448809504509,-0.8835427761077881,-0.5934709310531616,,,002908.SZ
