record_id,stock_code,stock_name,asof_date,cluster_id,cluster_distance
f28b37e410e91cba67ee44b2,000001.SZ,平安银行,2024-06-30,1,0.4112187623977661
2dea52419497494e3eef3e55,000002.SZ,万科Ａ,2024-06-30,5,0.901496171951294
af5793e2de7f474fa97a1423,000004.SZ,*ST国华,2024-06-30,2,0.8668336868286133
8014f5f3c51ecc864f8fc328,000006.SZ,深振业Ａ,2024-06-30,0,0.7558019757270813
9099af5cfd533c6f9f238f86,000007.SZ,全新好,2024-06-30,5,0.9070332050323486
f03aa6d63a6fc2477cbd9a34,000008.SZ,神州高铁,2024-06-30,2,0.8533633351325989
1c905394b642b4e24793dbd8,000009.SZ,中国宝安,2024-06-30,2,0.8042737245559692
8951c0aca9ea44f6e3e115d3,000010.SZ,美丽生态,2024-06-30,1,0.5996941328048706
73448fc77cdaef5b4bd5edea,000011.SZ,深物业A,2024-06-30,0,0.6727398633956909
7fff06a537b980155f908aee,000012.SZ,南玻Ａ,2024-06-15,3,0.5303084254264832
c4000ab4c04b96032aae4c38,000014.SZ,沙河股份,2024-06-30,0,0.7081986665725708
cee56bdafbd718ee6c9d66ef,000016.SZ,深康佳Ａ,2024-06-30,5,0.8372331857681274
01d4957b819702b93ff9fc8f,000017.SZ,深中华A,2024-06-30,2,0.7842633724212646
0425a3501cc2040d1d44f3ee,000019.SZ,深粮控股,2024-06-30,4,0.5274065136909485
d816eeb452973f29dbef96b8,000020.SZ,深华发Ａ,2024-06-30,3,0.558219313621521
4ed57bef3ad34c62da495c38,000021.SZ,深科技,2024-06-30,2,0.8175581097602844
2dabeea54e4560da2868e7d6,000025.SZ,特力Ａ,2024-06-15,5,0.808586835861206
b10893ad8eccee6d9dc0e1d7,000026.SZ,飞亚达,2024-06-30,4,0.5894543528556824
4b435def86626774d67aa49b,000027.SZ,深圳能源,2024-06-15,2,0.889245867729187
a8d7456c4394390460df0144,000028.SZ,国药一致,2024-06-30,5,0.8206170201301575
