record_id,stock_code,stock_name,asof_date,proto_0,proto_1,proto_2,proto_3,proto_4,proto_5,top_proto_id,top_proto_score
f28b37e410e91cba67ee44b2,000001.SZ,平安银行,2024-06-30,0.047936097,0.86285204,-0.002198277,0.017930895,0.1635468,0.21589524,1,0.8628520369529724
2dea52419497494e3eef3e55,000002.SZ,万科Ａ,2024-06-30,0.20060241,0.14311166,-0.18018341,0.2642868,0.03191726,0.51107967,5,0.5110796689987183
af5793e2de7f474fa97a1423,000004.SZ,*ST国华,2024-06-30,0.1495082,0.06018752,0.40762624,-0.15525454,-0.034281068,0.18778293,2,0.4076262414455414
8014f5f3c51ecc864f8fc328,000006.SZ,深振业Ａ,2024-06-30,0.6190325,0.05003143,0.085646346,0.10341399,-0.0020678835,0.083370484,0,0.6190325021743774
9099af5cfd533c6f9f238f86,000007.SZ,全新好,2024-06-30,0.0438767,0.1304123,-0.04453437,-0.04532216,-0.1355416,0.37929347,5,0.3792934715747833
f03aa6d63a6fc2477cbd9a34,000008.SZ,神州高铁,2024-06-30,-0.015053264,0.10668018,0.6145996,0.14185081,-0.14147206,-0.19181423,2,0.6145995855331421
1c905394b642b4e24793dbd8,000009.SZ,中国宝安,2024-06-30,-0.015854511,-0.034827,0.62779546,0.20838399,0.2848221,-0.1953816,2,0.6277954578399658
8951c0aca9ea44f6e3e115d3,000010.SZ,美丽生态,2024-06-30,0.07420227,0.86285216,0.11228799,-0.061272502,-0.084683314,0.16872063,1,0.862852156162262
73448fc77cdaef5b4bd5edea,000011.SZ,深物业A,2024-06-30,0.709442,0.060835097,0.07324587,-0.13214843,0.25446197,0.016733516,0,0.7094420194625854
7fff06a537b980155f908aee,000012.SZ,南玻Ａ,2024-06-15,0.114204936,-0.085616134,0.24081478,0.838914,0.07479727,-0.09907561,3,0.8389139771461487
c4000ab4c04b96032aae4c38,000014.SZ,沙河股份,2024-06-30,0.79389334,0.039346065,0.08288491,0.10297608,0.044954285,0.13615385,0,0.7938933372497559
cee56bdafbd718ee6c9d66ef,000016.SZ,深康佳Ａ,2024-06-30,0.10086662,-0.0047778618,-0.08621902,-0.0772413,-0.114163615,0.5146348,5,0.5146347880363464
01d4957b819702b93ff9fc8f,000017.SZ,深中华A,2024-06-30,0.08658656,-0.024889544,0.6449618,0.32527083,0.2576344,-0.11551695,2,0.6449617743492126
0425a3501cc2040d1d44f3ee,000019.SZ,深粮控股,2024-06-30,0.11122761,0.118045375,0.16699861,-0.011668898,0.82955146,0.017567785,4,0.8295514583587646
d816eeb452973f29dbef96b8,000020.SZ,深华发Ａ,2024-06-30,-0.055513572,0.04347696,-0.011554738,0.8389139,-0.04292859,0.18725726,3,0.8389139175415039
4ed57bef3ad34c62da495c38,000021.SZ,深科技,2024-06-30,-0.015069464,-0.038916998,0.5511923,0.12076771,0.25447848,-0.2689965,2,0.5511922836303711
2dabeea54e4560da2868e7d6,000025.SZ,特力Ａ,2024-06-15,0.008719002,0.08349005,-0.074443884,-0.035132177,0.18938605,0.5784129,5,0.5784128904342651
b10893ad8eccee6d9dc0e1d7,000026.SZ,飞亚达,2024-06-30,0.12121623,-0.042225555,0.14218768,0.04318195,0.82955116,0.018292096,4,0.8295511603355408
4b435def86626774d67aa49b,000027.SZ,深圳能源,2024-06-15,0.18895113,0.14404331,0.48136574,-0.18634051,-0.0010696113,0.01812907,2,0.48136574029922485
a8d7456c4394390460df0144,000028.SZ,国药一致,2024-06-30,-0.06514132,0.22623001,-0.055940315,0.029819546,0.084500626,0.61205626,5,0.6120562553405762
