record_id,stock_code,stock_name,asof_date,degree,weighted_degree,component_id,component_size,pagerank
a29fae20c29251c906375c16,002356.SZ,赫美集团,2024-06-15,8,2.642083168029785,0,5406,0.0001832733
fb93798310ae4d6969012256,002474.SZ,榕基软件,2024-06-30,14,3.6020593643188477,0,5406,0.0002758604
c9e2bba9cdcdddc083b81e3d,002523.SZ,天桥起重,2024-06-15,9,2.1212148666381836,0,5406,0.0002444642
34764953eaf267aca07a45f4,002756.SZ,永兴材料,2024-06-30,7,1.9000824689865112,0,5406,0.0001836112
835403514fe1e815a4b9255e,300001.SZ,特锐德,2024-06-30,5,1.1450132131576538,0,5406,0.00015796232
e7f66babfb518db2b7e8e88d,300003.SZ,乐普医疗,2024-06-30,6,1.3852871656417847,0,5406,0.00013663823
a0943a00acecb458cc158e45,300004.SZ,南风股份,2024-06-15,7,1.0442308187484741,0,5406,0.00013708697
ead6b9f9b9d653cf3ba9baa0,300005.SZ,探路者,2024-06-15,3,1.141080617904663,0,5406,0.00018910786
02201e99def755ae609ea1fc,300006.SZ,莱美药业,2024-06-15,13,3.325470447540283,0,5406,0.00031137312
f177e73aac245aa6713ad3a9,300007.SZ,汉威科技,2024-06-15,4,0.7364580035209656,0,5406,0.00010188488
fdc1cab623f0295b20071ef8,300008.SZ,天海防务,2024-06-15,9,2.6604318618774414,0,5406,0.00026186064
01144075c62a672bb992e9b4,300009.SZ,安科生物,2024-06-15,7,1.0932042598724365,0,5406,0.00012345609
93f1fe2860a0981226a80106,300010.SZ,豆神教育,2024-06-30,9,2.9011435508728027,0,5406,0.00025704893
4ddc7d5fc879faa051d630a6,300011.SZ,鼎汉技术,2024-06-30,4,0.6795304417610168,0,5406,8.441187e-05
640644fbd436cac9b83e1776,300012.SZ,华测检测,2024-06-30,9,2.99639892578125,0,5406,0.0002925102
16dcd8977a1f798681a6fe30,300013.SZ,新宁物流,2024-06-30,6,1.2989575862884521,0,5406,0.00017630403
c88113752efd68582344721b,300014.SZ,亿纬锂能,2024-06-30,9,2.691429853439331,0,5406,0.00026021834
280a6ad7d33f58d7ca281efc,300015.SZ,爱尔眼科,2024-06-15,6,2.067255973815918,0,5406,0.00015899436
d9f8a71a222dedefa05bf42c,300017.SZ,网宿科技,2024-06-15,10,2.8110105991363525,0,5406,0.0002551297
20e1411d648c26d1c8817c1b,300018.SZ,中元股份,2024-06-15,7,1.1870231628417969,0,5406,0.00010615623
593253770bf1afe7dc8d646d,300019.SZ,硅宝科技,2024-06-15,5,2.121572971343994,0,5406,0.00016002111
b631c08f4903612e73cd77d8,300020.SZ,ST银江,2024-06-30,10,2.255220890045166,0,5406,0.00017354853
d42a9ea6983bdf6779ac3e1d,300021.SZ,大禹节水,2024-06-15,2,1.1408032178878784,0,5406,0.00019250276
47a70660e19d8b0621877e6e,300022.SZ,吉峰科技,2024-06-15,3,0.3749321699142456,0,5406,7.266633e-05
636875fccae4ec4a2a5e8b27,300024.SZ,机器人,2024-06-15,8,2.047312021255493,0,5406,0.00017743297
a34562346b57aa9dff853406,300026.SZ,红日药业,2024-06-15,4,0.5234084725379944,0,5406,8.748126e-05
be4c738d823c47a57a772498,300027.SZ,华谊兄弟,2024-06-15,10,3.351501703262329,0,5406,0.0002412274
ab79c4cd6da08c812fea9fd3,300033.SZ,同花顺,2024-06-15,7,3.0812597274780273,0,5406,0.00027430808
afb2e8bf922fae8aab10132c,300071.SZ,福石控股,2024-06-30,5,1.3930381536483765,0,5406,0.00012416983
fd6d7755ff34df6ee1c38e09,601117.SH,中国化学,2024-06-30,3,0.5586071014404297,0,5406,0.000113653594
a12ba229879783edf153d1f7,601139.SH,深圳燃气,2024-06-30,8,2.204265832901001,0,5406,0.00018085001
21fc3096bf0432ce6b791801,601618.SH,中国中冶,2024-06-30,6,1.9318864345550537,0,5406,0.00024043006
e4746883db2a0eff10ceda88,601801.SH,皖新传媒,2024-06-30,6,2.8515982627868652,0,5406,0.00017999264
ed89e307978bc9b68db56b1e,601877.SH,正泰电器,2024-06-30,4,0.529832124710083,0,5406,7.26103e-05
f03ffc48e5977d7e3c179982,002322.SZ,理工能科,2024-06-15,6,1.245537281036377,0,5406,0.00012492748
217b697356deaf41221fdfb8,002323.SZ,雅博股份,2024-06-15,7,1.4186748266220093,0,5406,0.00014690746
8ab8de27ce4af47770720fc5,002324.SZ,普利特,2024-06-15,12,3.8297410011291504,0,5406,0.00030541897
6e144370f1bbfe158dc8f669,002326.SZ,永太科技,2024-06-15,6,2.6118009090423584,0,5406,0.00021554645
b31f9aaed75b337894ca5fde,002329.SZ,皇氏集团,2024-06-30,0,0.0,37,1,2.7262813e-05
096e49ddcbfb1a125cd18b8b,002330.SZ,得利斯,2024-06-15,6,1.9495599269866943,0,5406,0.00015347199
ddf5b21da51a13c74c52f45a,002332.SZ,仙琚制药,2024-06-15,3,0.9398925304412842,0,5406,0.00015531409
c7af16dc400be3868befb049,002333.SZ,罗普斯金,2024-06-15,6,1.1734910011291504,0,5406,0.00012886885
b788d48243458bc9e369578c,002334.SZ,英威腾,2024-06-15,11,2.49169921875,0,5406,0.00020512562
48e5223272fa6cfebdf5a238,002335.SZ,科华数据,2024-06-15,5,1.2494218349456787,0,5406,0.00017049411
b1cb16feb4146aa12a2f4682,002337.SZ,赛象科技,2024-06-15,7,1.8097443580627441,0,5406,0.0001954868
cd2e7d7e4f5f3a110c92c49d,002338.SZ,奥普光电,2024-06-15,6,2.1779768466949463,0,5406,0.00017651952
a556ef046fe177ec30562b88,002339.SZ,积成电子,2024-06-15,7,1.5480092763900757,0,5406,0.00014901343
0744f15ecf45d42eb811b212,002340.SZ,格林美,2024-06-15,7,1.1890490055084229,0,5406,0.00013313488
41663469be6cf99b560093d2,002342.SZ,巨力索具,2024-06-15,5,0.9048339128494263,0,5406,0.000130632
5c9f56bfa60dd85d45d73279,002343.SZ,慈文传媒,2024-06-30,8,2.7687244415283203,0,5406,0.00019307452
21f10c28d41b5a918853a756,002344.SZ,海宁皮城,2024-06-15,5,1.6320545673370361,0,5406,0.00019047142
466554d4efcc91751173dc4f,002345.SZ,潮宏基,2024-06-15,8,3.3705129623413086,0,5406,0.00021306389
496061f77a1a1cb916e31f7e,002346.SZ,柘中股份,2024-06-30,2,1.169082522392273,0,5406,0.00014300722
ba0428da84455af9fefafdd4,002347.SZ,泰尔股份,2024-06-30,3,0.9485681653022766,0,5406,0.00013430798
665c0466b515281f05643a7d,002348.SZ,高乐股份,2024-06-15,4,0.5151970982551575,0,5406,8.611792e-05
bdbdae39feb70d26160078af,002349.SZ,精华制药,2024-06-15,10,1.7909365892410278,0,5406,0.00017750102
cbdd773456e005f79d92a709,002351.SZ,漫步者,2024-06-15,3,1.5876579284667969,0,5406,0.00020584813
8aedda705f1a314bccf20e75,002352.SZ,顺丰控股,2024-06-15,7,1.2831262350082397,0,5406,0.00014165681
7df0ea50d70a524a5bccbdde,002353.SZ,杰瑞股份,2024-06-15,4,0.7709086537361145,0,5406,9.7389246e-05
325aedcfa17ca8727dc03cd2,002354.SZ,天娱数科,2024-06-15,10,2.484699010848999,0,5406,0.00020717563
