record_id,stock_code,stock_name,asof_date,cluster_id,cluster_distance
f28b37e410e91cba67ee44b2,000001.SZ,平安银行,2024-06-30,1,0.9308416843414307
2dea52419497494e3eef3e55,000002.SZ,万科Ａ,2024-06-30,1,0.9468994140625
af5793e2de7f474fa97a1423,000004.SZ,*ST国华,2024-06-30,1,0.9071924090385437
8014f5f3c51ecc864f8fc328,000006.SZ,深振业Ａ,2024-06-30,5,0.6685695052146912
9099af5cfd533c6f9f238f86,000007.SZ,全新好,2024-06-30,1,0.995895504951477
f03aa6d63a6fc2477cbd9a34,000008.SZ,神州高铁,2024-06-30,1,0.9500846266746521
1c905394b642b4e24793dbd8,000009.SZ,中国宝安,2024-06-30,0,0.8520647287368774
8951c0aca9ea44f6e3e115d3,000010.SZ,美丽生态,2024-06-30,1,0.8990446925163269
73448fc77cdaef5b4bd5edea,000011.SZ,深物业A,2024-06-30,1,0.9635317325592041
7fff06a537b980155f908aee,000012.SZ,南玻Ａ,2024-06-15,2,0.9844769239425659
c4000ab4c04b96032aae4c38,000014.SZ,沙河股份,2024-06-30,1,0.9589726328849792
cee56bdafbd718ee6c9d66ef,000016.SZ,深康佳Ａ,2024-06-30,1,1.011498212814331
01d4957b819702b93ff9fc8f,000017.SZ,深中华A,2024-06-30,1,1.0189423561096191
0425a3501cc2040d1d44f3ee,000019.SZ,深粮控股,2024-06-30,1,0.976148247718811
d816eeb452973f29dbef96b8,000020.SZ,深华发Ａ,2024-06-30,4,0.9100058674812317
4ed57bef3ad34c62da495c38,000021.SZ,深科技,2024-06-30,4,0.8105391263961792
2dabeea54e4560da2868e7d6,000025.SZ,特力Ａ,2024-06-15,1,0.9719014763832092
b10893ad8eccee6d9dc0e1d7,000026.SZ,飞亚达,2024-06-30,1,1.0315660238265991
4b435def86626774d67aa49b,000027.SZ,深圳能源,2024-06-15,1,0.9423141479492188
a8d7456c4394390460df0144,000028.SZ,国药一致,2024-06-30,1,0.9422967433929443
8438101de2099c12a07a9f2a,000029.SZ,深深房Ａ,2024-06-30,5,0.6689927577972412
6396be9ae4c1dbf1bfcda3e3,000030.SZ,富奥股份,2024-06-15,4,0.9528557062149048
004d46b929a97f9ea5dd2310,000031.SZ,大悦城,2024-06-30,1,0.9468150734901428
a059a4ca774761098dd3aec9,000032.SZ,深桑达Ａ,2024-06-30,1,0.9185656309127808
2429bea8707227689c177727,000034.SZ,神州数码,2024-06-15,1,0.9168752431869507
e7af61ccba63514386e9a3d3,000035.SZ,中国天楹,2024-06-15,1,0.9161613583564758
b74a87fbb445abd5519838fe,000036.SZ,华联控股,2024-06-30,1,0.988531231880188
a5cf3af142151cc0d6a88dcc,000037.SZ,深南电A,2024-06-15,1,0.9590846300125122
b1c51d31820773d9d0073b59,000039.SZ,中集集团,2024-06-30,1,1.0249611139297485
013686ebd976fb96726960ec,000042.SZ,中洲控股,2024-06-15,1,0.9585914015769958
49e3c868855faabf94ebb783,000045.SZ,深纺织Ａ,2024-06-30,4,0.8356645703315735
d437e449ce3a91702d538b6c,000048.SZ,京基智农,2024-06-30,1,0.9817066192626953
981beb9c3d076ece4bd9c611,000049.SZ,德赛电池,2024-06-15,0,0.9000699520111084
a9eaac431311ea76ec7a8fc4,000050.SZ,深天马Ａ,2024-06-30,4,0.8037784099578857
6c9cca62d2760214c358f513,000055.SZ,方大集团,2024-06-30,1,1.0316380262374878
d4eccac1653566b95e625214,000056.SZ,皇庭国际,2024-06-30,1,1.0128973722457886
be141ee74b2b80d2ab3b378d,000058.SZ,深赛格,2024-06-15,1,1.0026154518127441
b3de9089ee95af61f383da89,000059.SZ,华锦股份,2024-06-30,2,0.9950308799743652
